#### TEMPERATURA EM CUIABÁ (1961-2019) ####
# Fonte: BDMEP - INMET
# http://www.inmet.gov.br/portal/index.php?r=bdmep/bdmep

Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;
83361;12/06/1961;0000;;19;;15.66;85.25;
83361;12/06/1961;1200;0;;13.2;;;
83361;13/06/1961;0000;;18.3;;15.02;87;
83361;13/06/1961;1200;0;;12.7;;;
83361;14/06/1961;0000;;16.3;;13.06;90;
83361;14/06/1961;1200;0.3;;11.9;;;
83361;15/06/1961;0000;;16;;12.86;89;
83361;15/06/1961;1200;0;;10.5;;;
83361;16/06/1961;0000;;16.8;;14.4;84.5;
83361;16/06/1961;1200;0.3;;11.4;;;
83361;17/06/1961;0000;;25.5;;18.18;70.5;
83361;17/06/1961;1200;0;;11.9;;;
83361;18/06/1961;0000;;32.4;;21.94;71.25;
83361;18/06/1961;1200;0;;12.6;;;
83361;19/06/1961;0000;;33.3;;24.74;67;
83361;19/06/1961;1200;0;;18.9;;;
83361;20/06/1961;0000;;32.4;;24.56;60;
83361;20/06/1961;1200;0;;17.8;;;
83361;21/06/1961;0000;;32.9;;24.68;63.5;
83361;21/06/1961;1200;0;;19.2;;;
83361;22/06/1961;0000;;32;;23.9;73;
83361;22/06/1961;1200;0;;18.9;;;
83361;23/06/1961;0000;;32.6;;24.78;60.5;
83361;23/06/1961;1200;0;;18.6;;;
83361;24/06/1961;0000;;32.4;;24.28;61;
83361;24/06/1961;1200;0;;18.5;;;
83361;25/06/1961;0000;;33;;24.02;55.5;
83361;25/06/1961;1200;0;;17.5;;;
83361;26/06/1961;0000;;33.1;;25.08;54;
83361;26/06/1961;1200;0;;16.9;;;
83361;27/06/1961;0000;;32.6;;25.56;48.25;
83361;27/06/1961;1200;0;;19.4;;;
83361;28/06/1961;0000;;32.9;;24.7;60.25;
83361;28/06/1961;1200;0;;17.5;;;
83361;29/06/1961;0000;;33.6;;25.8;55.25;
83361;29/06/1961;1200;0;;19.5;;;
83361;30/06/1961;0000;;34;;25.3;58.75;
83361;30/06/1961;1200;0;;18.9;;;
83361;01/07/1961;0000;;33.8;;25.34;54.5;
83361;01/07/1961;1200;0;;19;;;
83361;02/07/1961;0000;;32.2;;24.36;55;
83361;02/07/1961;1200;0;;18.9;;;
83361;03/07/1961;0000;;32.5;;24.2;56;
83361;03/07/1961;1200;0;;18.8;;;
